appid,review_score,review_score_desc,total_reviews
1568590,0,No user reviews,0
1551360,8,Very Positive,84120
1426210,9,Overwhelmingly Positive,43049
552990,6,Mostly Positive,813
1599340,5,Mixed,38971
216150,5,Mixed,80
1085660,6,Mostly Positive,76989
3224770,0,No user reviews,0
949230,5,Mixed,30367
281990,8,Very Positive,72849
739630,9,Overwhelmingly Positive,339878
39210,8,Very Positive,58720
2072560,0,No user reviews,0
1283970,8,Very Positive,1386
255710,8,Very Positive,97327
1920960,0,No user reviews,0
304930,8,Very Positive,2866
1454400,9,Overwhelmingly Positive,49049
990080,8,Very Positive,133608
730,8,Very Positive,1378020
2694490,6,Mostly Positive,83309
1943950,8,Very Positive,32596
252950,8,Very Positive,225728
244210,8,Very Positive,54897
1446780,8,Very Positive,32402
1942280,9,Overwhelmingly Positive,27396
1284190,9,Overwhelmingly Positive,30971
3513350,0,No user reviews,0
2141910,0,No user reviews,0
548430,9,Overwhelmingly Positive,164019
2074920,0,No user reviews,0
236850,8,Very Positive,46967
2073850,0,8 user reviews,8
993090,8,Very Positive,13347
457140,9,Overwhelmingly Positive,46570
761890,6,Mostly Positive,889
2379780,9,Overwhelmingly Positive,91686
2426960,0,No user reviews,0
291550,8,Very Positive,1573
2001120,9,Overwhelmingly Positive,17866
1607250,5,Mixed,19
3231090,0,No user reviews,0
2763740,0,No user reviews,0
2429640,6,Mostly Positive,6032
648800,8,Very Positive,124485
306130,8,Very Positive,72139
2183900,8,Very Positive,81006
814380,8,Very Positive,82509
2062430,9,Overwhelmingly Positive,7134
376210,6,Mostly Positive,51713
960090,9,Overwhelmingly Positive,215497
3164500,9,Overwhelmingly Positive,160183
1248130,8,Very Positive,24475
1151340,6,Mostly Positive,40804
1407200,6,Mostly Positive,178
1687950,9,Overwhelmingly Positive,29284
1295660,5,Mixed,24923
3681810,0,No user reviews,0
1238840,8,Very Positive,41557
2709570,7,Positive,26
2016590,5,Mixed,37
1874880,6,Mostly Positive,23303
1285190,5,Mixed,37013
3557620,0,No user reviews,0
3008130,8,Very Positive,19642
779340,8,Very Positive,16849
107410,8,Very Positive,108592
1771300,8,Very Positive,46582
2707930,7,Positive,25
1145350,9,Overwhelmingly Positive,49984
2050650,9,Overwhelmingly Positive,52943
1984270,8,Very Positive,5392
1643320,6,Mostly Positive,38398
714010,6,Mostly Positive,95
1361210,6,Mostly Positive,67647
1778820,5,Mixed,23362
529340,6,Mostly Positive,19194
444200,6,Mostly Positive,222
1238810,6,Mostly Positive,33551
3354750,6,Mostly Positive,199
2567870,8,Very Positive,18643
1812620,5,Mixed,2513
1604030,8,Very Positive,52087
1676840,6,Mostly Positive,4774
728880,8,Very Positive,13501
2352620,6,Mostly Positive,7673
1794680,9,Overwhelmingly Positive,123735
357070,8,Very Positive,1740
440900,6,Mostly Positive,36909
233860,9,Overwhelmingly Positive,44553
2344520,6,Mostly Positive,15139
3659280,0,No user reviews,0
2325290,0,No user reviews,0
431730,9,Overwhelmingly Positive,10700
2471100,0,No user reviews,0
242760,9,Overwhelmingly Positive,172434
3117820,8,Very Positive,960
1284210,8,Very Positive,280
1468810,6,Mostly Positive,3582
977400,0,No user reviews,0
700330,0,No user reviews,0
2445690,8,Very Positive,790
3489700,9,Overwhelmingly Positive,11926
534380,6,Mostly Positive,66080
3059520,8,Very Positive,4178
1876890,9,Overwhelmingly Positive,2039
2893570,8,Very Positive,253
916440,6,Mostly Positive,10774
3198850,0,No user reviews,0
8500,6,Mostly Positive,5249
270880,9,Overwhelmingly Positive,86938
3548580,8,Very Positive,103
3213850,8,Very Positive,499
1669000,8,Very Positive,9721
1304930,8,Very Positive,30098
