appid,required_age,is_free,price,developers,categories,release_date,genres,name,Historico,review_score,review_score_desc,total_reviews,categories_numerico,genres_numerico
1973530,0,True,0,ProjectMoon,"('Single-player', 'In-App Purchases')",2023-02-26 00:00:00,"('Action', 'RPG', 'Strategy')",Limbus Company,124574,0,No user reviews,0,"(22, 4)","(0, 5, 2)"
2799860,0,False,59999,LEVEL5 Inc.,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'HDR available', 'Family Sharing')",2025-11-13 00:00:00,"('RPG', 'Sports')",INAZUMA ELEVEN: Victory Road,52795,9,Overwhelmingly Positive,950,"(22, 0, 20, 21, 1, 25, 26, 2, 32, 33, 36)","(5, 14)"
3037410,0,True,0,Multicast,"('Single-player',)",2024-11-15 00:00:00,"('Adventure', 'Casual', 'Indie', 'Free To Play')",Fish Idle 2: Underwater Mystery,44430,5,Mixed,246,"(22,)","(3, 6, 7, 1)"
440,0,True,0,Valve,"('Multi-player', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Steam Trading Cards', 'Captions available', 'Steam Workshop', 'In-App Purchases', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Stereo Sound', 'Surround Sound', 'Partial Controller Support', 'Valve Anti-Cheat enabled', 'Stats', 'Includes level editor', 'Commentary available', 'Remote Play on Phone', 'Remote Play on Tablet')",2007-10-10 00:00:00,"('Action', 'Free To Play')",Team Fortress 2,253997,6,Mostly Positive,26110,"(0, 1, 25, 2, 51, 3, 4, 6, 7, 8, 10, 11, 35, 12, 13, 34, 52, 14, 15)","(0, 1)"
1623730,0,False,15500,Pocketpair,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Cloud', 'Family Sharing')",2024-01-18 00:00:00,"('Action', 'Adventure', 'Indie', 'RPG', 'Early Access')",Palworld,2101867,9,Overwhelmingly Positive,143978,"(22, 0, 18, 24, 1, 25, 26, 32, 36)","(0, 3, 7, 5, 15)"
1086940,17,False,39999,Larian Studios,"('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'LAN Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Adjustable Text Size', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Adjustable Difficulty', 'Playable without Timed Input', 'Save Anytime', 'Stereo Sound', 'Subtitle Options', 'Surround Sound', 'Steam Cloud', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing')",2023-08-03 00:00:00,"('Adventure', 'RPG', 'Strategy')",Baldur's Gate 3,875343,9,Overwhelmingly Positive,422454,"(22, 0, 18, 24, 53, 1, 25, 26, 2, 5, 6, 7, 8, 29, 9, 49, 10, 31, 11, 32, 16, 54, 36)","(3, 5, 2)"
3932890,0,False,16150,Battlestate Games,"('Multi-player', 'MMO', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Achievements', 'In-App Purchases', 'Camera Comfort', 'Color Alternatives', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound')",2025-11-15 00:00:00,"('Action', 'Massively Multiplayer', 'RPG', 'Simulation')",Escape from Tarkov,47800,5,Mixed,4023,"(0, 23, 20, 21, 18, 24, 25, 4, 6, 7, 8, 9, 10, 11)","(0, 4, 5, 12)"
1281930,0,True,0,TML Team,"('Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Co-op', 'Online Co-op', 'Steam Workshop', 'Steam Cloud')",2020-05-16 00:00:00,"('Action', 'Adventure', 'Indie', 'RPG', 'Free To Play')",tModLoader,56583,0,No user reviews,0,"(22, 0, 20, 21, 18, 24, 3, 32)","(0, 3, 7, 5, 1)"
322170,0,False,3000,RobTop Games,"('Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Includes level editor', 'Remote Play on Phone', 'Remote Play on Tablet', 'Family Sharing')",2014-12-22 00:00:00,"('Action', 'Indie')",Geometry Dash,88346,8,Very Positive,203144,"(22, 25, 2, 35, 34, 14, 15, 36)","(0, 7)"
2622380,17,False,31999,"FromSoftware, Inc.","('Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Camera Comfort', 'Custom Volume Controls', 'Playable without Timed Input', 'Stereo Sound', 'Surround Sound', 'Steam Cloud', 'Family Sharing')",2025-05-29 00:00:00,"('Action', 'RPG')",ELDEN RING NIGHTREIGN,313593,8,Very Positive,62626,"(22, 0, 18, 24, 25, 26, 6, 8, 9, 10, 11, 32, 36)","(0, 5)"
